Health/Disease,Macroeconomics/Finance,Natural Sciences/Climate,Other,Politics/Intl Relations,Technology,date,entropy_b,entropy_c,entropy_d,entropy_human,entropy_sage,entropy_te,ifp_id,n_forecasts,n_forecasts_b,n_forecasts_c,n_forecasts_d,n_forecasts_sage,n_forecasts_te,ordinal,p_updates,stage,variance_b,variance_c,variance_d,variance_human,variance_sage,variance_te
0,0,0,0,1,0,2018-05-02,0,0,0,0,0,0,1011,1,0,0,0,0,1,0,0,0.304347826,0,0,0,0,0,0
0,1,0,0,0,0,2018-05-02,0,0,0,0,0,0,1019,1,0,0,0,0,1,1,0,0.628205128,0,0,0,0,0,0
0,0,0,0,1,0,2018-05-02,0,0,0,0,0,0,848,1,0,0,0,0,1,1,0,0.316384181,0,0,0,0,0,0
0,0,0,1,0,0,2018-05-02,0,0,0,0,0,0,1082,1,0,0,0,0,1,0,0,0.276836158,0,0,0,0,0,0
0,0,0,1,0,0,2018-05-02,0,0,0,0,0,0,1334,1,0,0,0,0,1,0,0,0.32183908,0,0,0,0,0,0
0,0,0,1,0,0,2018-05-02,0,0,0,0,0,0,1307,1,0,0,0,0,1,0,0,0.285714286,0,0,0,0,0,0
0,0,0,0,1,0,2018-05-02,0,0,0,0,0,0,1415,1,0,0,0,0,1,0,0,0.42,0,0,0,0,0,0
0,0,0,1,0,0,2018-05-02,0,0,0,0,0,0,1532,1,0,0,0,0,1,1,0,0.191780822,0,0,0,0,0,0
0,0,0,1,0,0,2018-05-02,0,0,0,0,0,0,1658,1,0,0,0,0,1,1,0,0.072916667,0,0,0,0,0,0
0,0,0,1,0,0,2018-05-02,0,0,0,1.355091042,0,1.355091042,1676,4,0,0,0,0,4,1,0,0.106060606,0,0,0,0.204293961,0,0.204293961
0,1,0,0,0,0,2018-05-02,0,0,0,0.031347329,0,0.031347329,1721,2,0,0,0,0,2,1,0,0,0,0,0,0.04975,0,0.04975
0,1,0,0,0,0,2018-05-02,0,0,0,1.439911884,0,1.439911884,1712,5,0,0,0,0,5,1,0,0,0,0,0,0.105687937,0,0.105687937
0,0,0,0,1,0,2018-05-03,0,2.183697993,0,2.990527218,2.836884456,1.069855168,1568,25,0,11,0,22,3,0,0,0.105633803,0,0.566183025,0,0.539296988,0.540858075,0.291238596
0,1,0,0,0,0,2018-05-03,0,1.513313591,0,1.970059259,1.513313591,1.098162636,929,8,0,5,0,5,3,1,0,0.670588235,0,0.5157644,0,0.484128479,0.5157644,0.019498761
0,0,0,0,1,0,2018-05-03,0,1.038983735,0,1.561289181,1.038983735,0.676798825,1163,5,0,3,0,3,2,0,0,0.252941176,0,0.25939761,0,0.221058559,0.25939761,0.11
0,0,0,0,1,0,2018-05-03,0,0,0,0.542719096,0,0.542719096,1397,3,0,0,0,0,3,0,0,0.50877193,0,0,0,0.008433267,0,0.008433267
0,0,0,0,1,0,2018-05-03,0,0.668017819,0,1.646708551,0.517822871,1.51312512,1325,17,0,4,0,6,11,1,0,0.50877193,0,0.010631126,0,0.090443079,0.136023938,0.044424658
0,0,1,0,0,0,2018-05-03,0,2.091675364,0,3.671430145,2.582087995,3.28188608,1514,51,0,10,0,18,33,1,0,0.348837209,0,0.100898395,0,0.374826224,0.295155664,0.389974722
0,0,0,0,1,0,2018-05-03,0,2.987057861,0,3.875040391,3.21980307,3.218412454,1757,61,0,24,0,31,30,0,0,0.0078125,0,0.579278747,0,0.529103775,0.578582197,0.366543441
0,0,0,1,0,0,2018-05-03,0,2.607407136,0,4.050353399,3.048337952,3.595552729,1730,75,0,15,0,25,50,1,0,0.011111111,0,0.352344875,0,0.403319015,0.37615079,0.40588682
0,0,0,1,0,0,2018-05-03,0,2.223335664,0,2.814544476,2.664792133,1.34164544,1550,31,0,12,0,22,9,1,0,0.105633803,0,0.580087635,0,0.574783597,0.598317887,0.164809995
0,0,0,0,1,0,2018-05-03,0,2.613588167,0,4.212778755,3.031117818,3.849219328,1766,89,0,15,0,24,65,0,0,0.045454545,0,0.104924986,0,0.176320487,0.118143005,0.193375132
0,0,0,0,0,1,2018-05-03,0,2.747483492,0,4.255258015,3.180775656,3.854243143,1694,82,0,17,0,27,55,1,0,0.034482759,0,0.427809462,0,0.455528194,0.495668453,0.397401602
1,0,0,0,0,0,2018-05-03,0,2.571294978,0,3.440753093,2.80832556,2.698872824,1703,56,0,24,0,34,22,0,0,0.015873016,0,0.475267199,0,0.459315102,0.42570852,0.471456566
0,1,0,0,0,0,2018-05-03,0,1.152079336,0,1.635184142,1.37085084,0.525834269,875,7,0,4,0,5,2,1,0,0.495652174,0,0.405331982,0,0.372745597,0.385361296,0.1088
0,0,0,0,1,0,2018-05-03,0,2.746059365,0,3.683440901,3.202958786,2.721603753,1739,51,0,21,0,32,19,0,0,0.011111111,0,0.548052729,0,0.525082558,0.510499787,0.5441835
0,0,0,0,1,0,2018-05-03,0,1.887527968,0,2.539254911,2.461543676,1.137103391,1640,26,0,14,0,22,4,0,0,0.088888889,0,0.343007352,0,0.402957623,0.423595041,0.026855307
0,0,0,0,1,0,2018-05-03,0,2.086452662,0,2.69807019,2.401883975,1.472177146,1685,23,0,10,0,15,8,0,0,0.121212121,0,0.525641032,0,0.486946533,0.510646671,0.301657412
0,0,0,0,1,0,2018-05-03,0,1.767021317,0,2.110386807,1.859660501,1.909197302,1649,30,0,12,0,19,11,0,0,0.06779661,0,0.181197256,0,0.131758409,0.158135929,0.01269755
0,0,0,0,1,0,2018-05-03,0,1.228094418,0,3.93426483,2.163137904,3.754237363,1631,71,0,8,0,16,55,0,0,0.119402985,0,0.453251546,0,0.249254293,0.353776684,0.208854422
0,0,0,0,1,0,2018-05-03,0,1.17224431,0,2.359135885,1.638736111,1.696564274,1253,13,0,4,0,6,7,0,0,0.444444444,0,0.303478566,0,0.336093531,0.269031192,0.38422224
0,0,0,0,1,0,2018-05-03,0,0.952210052,0,1.746648103,1.3529489,0.692664102,1073,7,0,3,0,5,2,0,0,0.294117647,0,0.547730453,0,0.659142742,0.599949763,0.0579
0,0,0,0,1,0,2018-05-03,0,2.992762988,0,3.874772023,3.287282113,3.129935369,1775,68,0,32,0,44,24,0,0,0.0078125,0,0.50517774,0,0.637185464,0.550687085,0.383136415
0,1,0,0,0,0,2018-05-03,0,2.579770803,0,4.193807457,2.904549312,3.874959854,1712,98,0,22,0,34,64,1,0,0.03030303,0,0.471709972,0,0.375165463,0.424531656,0.343359606
0,1,0,0,0,0,2018-05-03,0,2.147223416,0,3.561372403,2.824857211,2.909942302,1721,56,0,12,0,26,30,1,0,0.016949153,0,0.362820264,0,0.344317698,0.331027307,0.355344886
0,0,0,0,1,0,2018-05-03,0,1.67366668,0,2.384413517,1.984825136,1.357919834,848,14,0,8,0,10,4,1,0,0.322033898,0,0.519364345,0,0.401739593,0.465472113,0.108277631
0,0,0,0,1,0,2018-05-03,0,1.095598894,0,2.472744703,1.095598894,2.191271346,830,12,0,3,0,3,9,1,0,0.670588235,0,0.119865807,0,0.199868643,0.119865807,0.12854747
0,0,0,0,1,0,2018-05-03,0,2.182531015,0,2.761347672,2.497271763,1.346505335,1622,23,0,13,0,18,5,0,0,0.082474227,0,0.293496564,0,0.281979998,0.266058256,0.30018057
1,0,0,0,0,0,2018-05-03,0,2.148270748,0,2.506201407,2.346343122,0.648053643,1613,23,0,13,0,19,4,0,0,0.082474227,0,0.295921241,0,0.583942761,0.547570309,0.727461339
0,0,0,0,1,0,2018-05-03,0,1.191315781,0,1.896401773,1.650734483,0.507161869,1361,8,0,4,0,6,2,0,0,0.333333333,0,0.53530949,0,0.538923097,0.529119504,0.3136
0,0,0,1,0,0,2018-05-03,0,2.293456099,0,3.42159256,2.774926881,2.706802967,1676,42,0,15,0,25,17,1,0,0.121212121,0,0.456408926,0,0.487673343,0.476663805,0.392128592
0,1,0,0,0,0,2018-05-03,0,1.375496184,0,2.681437727,1.590770582,2.272039185,893,15,0,4,0,5,10,1,0,0.504424779,0,0.121598206,0,0.190963778,0.150855927,0.208110957
0,0,0,1,0,0,2018-05-03,0,2.465485528,0,3.472186051,2.924421457,2.609731272,1658,35,0,13,0,21,14,1,0,0.083333333,0,0.447189683,0,0.34974561,0.420290972,0.200726832
0,0,0,0,1,0,2018-05-03,0,1.057924435,0,1.041530717,1.041530717,0,987,5,0,3,0,5,0,0,0,0.309782609,0,0.037281035,0,0.652268516,0.652268516,0
0,0,0,0,1,0,2018-05-03,0,0.676798825,0,1.372125336,1.372125336,0,947,4,0,2,0,4,0,0,0,0.670588235,0,0.2475,0,0.25259899,0.25259899,0
0,0,0,0,1,0,2018-05-03,0,1.324529818,0,1.749933397,1.559093918,0,974,6,0,4,0,5,1,0,0,0.322033898,0,0.470204647,0,0.40045037,0.435940117,0
0,0,0,1,0,0,2018-05-03,0,0,0,2.479232753,0.67297111,2.301164609,1334,12,0,1,0,2,10,0,0,0.333333333,0,0,0,0.186803077,0.3204,0.098902637
1,0,0,0,0,0,2018-05-03,0,0.690824017,0,1.426132331,0.726976741,0.785691296,1262,6,0,2,0,3,3,1,0,0.330275229,0,0.065625,0,0.397132604,0.450969927,0.301788649
0,0,0,0,1,0,2018-05-03,0,0.454533034,0,1.539686573,0.454533034,1.207159702,1586,15,0,3,0,3,12,0,0,0.833333333,0,0.031678384,0,0.057541359,0.031678384,0.062316671
0,1,0,0,0,0,2018-05-03,0,2.002368191,0,2.763402762,2.339478746,1.700743388,1433,18,0,8,0,12,6,1,0,0.275,0,0.349267269,0,0.41306119,0.413388337,0.410967057
1,0,0,0,0,0,2018-05-03,0,1.020693639,0,1.357518895,1.060104541,0,1424,8,0,4,0,7,1,1,0,0.201834862,0,0.614007391,0,0.594997652,0.598202757,0
0,0,0,0,1,0,2018-05-03,0,1.017025411,0,1.534290228,1.534290228,0,1011,6,0,4,0,6,0,0,0,0.309782609,0,0.647122235,0,0.57476082,0.57476082,0
0,0,0,1,0,0,2018-05-03,0,1.494620421,0,2.001610049,1.583613977,0.941862081,1496,20,0,6,0,8,12,0,0,0.147651007,0,0.50392298,0,0.497261432,0.530788338,0.395566357
0,0,0,0,1,0,2018-05-03,0,0,0,0.83918891,0,0.671468233,1487,4,0,0,0,1,3,0,0,0.147651007,0,0,0,0.715211773,0,0.722003903
0,0,0,1,0,0,2018-05-03,0,0,0,1.37809199,0,1.097125025,1082,4,0,1,0,1,3,0,0,0.282485876,0,0,0,0.210334276,0,0.082495791
0,0,0,0,1,0,2018-05-03,0,2.344640492,0,2.956566468,2.737762816,1.386255972,1523,25,0,14,0,20,5,0,0,0.205479452,0,0.58748245,0,0.731861879,0.683782236,0.780289224
0,0,0,1,0,0,2018-05-03,0,0.830487374,0,1.611975855,1.14607224,0.668522083,1280,8,0,5,0,6,2,1,0,0.288,0,0.247205165,0,0.333627018,0.300976269,0.15675
0,1,0,0,0,0,2018-05-03,0,0.422205252,0,2.138839024,0.422205252,1.941003298,1541,9,0,2,0,2,7,1,0,0.357142857,0,0.59735,0,0.326826231,0.59735,0.114883779
0,0,0,0,1,0,2018-05-03,0,0,0,1.601806502,1.089640474,0.692943148,1442,5,0,1,0,3,2,0,0,0.198198198,0,0,0,0.219635735,0.228723239,0.0396
0,0,0,0,1,0,2018-05-03,0,1.795954144,0,2.452265854,2.208448541,0.995106579,1478,16,0,8,0,12,4,0,0,0.147651007,0,0.626865651,0,0.625566896,0.617418568,0.523354564
0,0,0,0,1,0,2018-05-03,0,0,0,0,0,0,1154,1,0,1,0,1,0,0,0,0.252941176,0,0,0,0,0,0
0,0,0,0,1,0,2018-05-03,0,0,0,0.654789093,0,0,1181,2,0,0,0,1,1,1,0,0.252941176,0,0,0,0.396,0,0
0,0,0,0,1,0,2018-05-03,0,0,0,0.781828509,0,0.693147181,1577,3,0,1,0,1,2,0,0,0.205479452,0,0,0,0.487903679,0,0
0,0,0,0,1,0,2018-05-03,0,0,0,0,0,0,1559,1,0,1,0,1,0,0,0,0.105633803,0,0,0,0,0,0
0,0,0,0,1,0,2018-05-03,0,1.372513104,0,1.776204288,1.776204288,0,1127,6,0,4,0,6,0,0,0,0.826923077,0,0.18151909,0,0.182892525,0.182892525,0
0,1,0,0,0,0,2018-05-03,0,0,0,1.926027441,0,1.80643398,1451,8,0,1,0,1,7,1,0,0.198198198,0,0,0,0.58966569,0,0.501790572
0,1,0,0,0,0,2018-05-03,0,1.339002423,0,1.67718088,1.67718088,0,1406,7,0,5,0,7,0,1,0,0.44,0,0.363992282,0,0.414374369,0.414374369,0
0,0,0,0,1,0,2018-05-03,0,0,0,0.687627417,0,0,1064,2,0,0,0,1,1,0,0,0.294117647,0,0,0,0.0931,0,0
0,0,0,0,1,0,2018-05-03,0,0,0,0.633256743,0,0.688325332,1388,3,0,1,0,1,2,0,0,0.185897436,0,0,0,0.625873605,0,0.0183
0,0,0,0,1,0,2018-05-03,0,0,0,1.121317787,0,0.72704983,1343,5,0,1,0,1,4,0,0,0.333333333,0,0,0,0.905440212,0,0.936846796
0,0,0,0,1,0,2018-05-03,0,0,0,0,0,0,1100,1,0,1,0,1,0,0,0,0.282485876,0,0,0,0,0,0
0,1,0,0,0,0,2018-05-03,0,0,0,1.070887786,0,0.686586151,1019,3,0,1,0,1,2,1,0,0.641025641,0,0,0,0.347376658,0,0.1956
0,1,0,0,0,0,2018-05-03,0,0,0,0.690527181,0,0,1115,2,0,1,0,1,1,0,0,0.294117647,0,0,0,0.0039,0,0
0,0,0,0,1,0,2018-05-03,0,0,0,1.165298554,0,0.984498972,1370,9,0,0,0,1,8,0,0,0.50877193,0,0,0,0.231676345,0,0.244968803
0,0,0,0,1,0,2018-05-03,0,0,0,0.692683514,0,0.692683514,1469,2,0,0,0,0,2,0,0,0.147651007,0,0,0,0.0591,0,0.0591
0,0,0,0,1,0,2018-05-03,0,0,0,0,0,0,1199,1,0,0,0,0,1,0,0,0.252941176,0,0,0,0,0,0
0,0,0,0,1,0,2018-05-03,0,0,0,0,0,0,1003,1,0,0,0,0,1,0,0,0.309782609,0,0,0,0,0,0
0,0,0,1,0,0,2018-05-03,0,0,0,0,0,0,1091,1,0,0,0,0,1,0,0,0.282485876,0,0,0,0,0,0
0,0,0,0,1,0,2018-05-03,0,0,0,0.001937787,0,0.001937787,1136,2,0,0,0,0,2,0,0,0.325757576,0,0,0,0.4899,0,0.4899
0,0,0,0,1,0,2018-05-03,0,0,0,0,0,0,1190,1,0,0,0,0,1,1,0,0.325757576,0,0,0,0,0,0
0,0,0,0,1,0,2018-05-03,0,0,0,0,0,0,1271,1,0,0,0,0,1,1,0,0.244897959,0,0,0,0,0,0
0,0,0,0,1,0,2018-05-03,0,0,0,0.861748785,0,0.861748785,1226,3,0,0,0,0,3,0,0,0.382978723,0,0,0,0.305759252,0,0.305759252
0,0,0,0,1,0,2018-05-03,0,0,0,0.589958527,0,0.589958527,1217,2,0,0,0,0,2,1,0,0.382978723,0,0,0,0.179375,0,0.179375
0,0,0,1,0,0,2018-05-03,0,0,0,1.691576109,0,1.691576109,1289,7,0,0,0,0,7,0,0,0.5625,0,0,0,0.716642815,0,0.716642815
0,0,0,1,0,0,2018-05-03,0,0,0,1.084701229,0,1.084701229,1352,3,0,0,0,0,3,0,0,0.333333333,0,0,0,0.273891706,0,0.273891706
0,0,0,1,0,0,2018-05-03,0,0,0,0.691687682,0,0.691687682,1307,2,0,0,0,0,2,0,0,0.295918367,0,0,0,0.0925,0,0.0925
0,0,0,0,1,0,2018-05-03,0,0,0,2.892097306,0,2.892097306,1415,19,0,0,0,0,19,0,0,0.44,0,0,0,0.434675687,0,0.434675687
0,0,0,1,0,0,2018-05-03,0,0,0,1.784515795,0,1.784515795,1532,6,0,0,0,0,6,1,0,0.205479452,0,0,0,0.171144534,0,0.171144534
0,0,0,0,1,0,2018-05-03,0,0,0,1.595676679,0,1.595676679,1604,5,0,0,0,0,5,0,0,0.333333333,0,0,0,0.226838304,0,0.226838304
0,0,0,0,1,0,2018-05-03,0,0,0,1.899449283,0,1.899449283,1667,11,0,0,0,0,11,0,0,0.082474227,0,0,0,0.072334549,0,0.072334549
0,0,0,0,1,0,2018-05-04,0,2.631797706,0,3.387754743,3.182004228,1.770039762,1568,36,0,17,0,30,6,0,0,0.112676056,0,0.517914392,0,0.519488364,0.497840929,0.278272592
0,1,0,0,0,0,2018-05-04,0,2.089844382,0,2.739773685,2.28391502,1.785934501,929,18,0,10,0,12,6,1,0,0.682352941,0,0.539882137,0,0.423633886,0.507466977,0.071943496
0,0,0,0,1,0,2018-05-04,0,2.18847384,0,2.594817627,2.285486487,1.276660164,1163,17,0,11,0,12,5,0,0,0.258823529,0,0.556491201,0,0.541839002,0.537072833,0.525042855
0,0,0,0,1,0,2018-05-04,0,0,0,1.215179009,1.199779977,0,1397,7,0,1,0,6,1,0,0,0.526315789,0,0,0,0.350016438,0.360241709,0
0,0,0,0,1,0,2018-05-04,0,1.662280919,0,2.147291776,1.03106942,1.95824788,1325,39,0,10,0,15,24,1,0,0.526315789,0,0.009204588,0,0.063186859,0.091875374,0.033496851
0,0,1,0,0,0,2018-05-04,0,2.447957487,0,4.284904642,3.066444431,3.960726502,1514,98,0,16,0,28,70,1,0,0.372093023,0,0.169703274,0,0.406949634,0.266222241,0.437116518
0,0,0,0,1,0,2018-05-04,0,3.630441979,0,4.452987522,3.853471155,3.690907805,1757,106,0,46,0,58,48,0,0,0.015625,0,0.557739852,0,0.506221066,0.550567452,0.3982399
0,0,0,1,0,0,2018-05-04,0,3.107587969,0,4.723521849,3.511407658,4.371740968,1730,153,0,25,0,39,114,1,0,0.022222222,0,0.334560618,0,0.403101916,0.358337268,0.407104162
0,0,0,1,0,0,2018-05-04,0,2.722111817,0,3.445961322,3.100483866,2.216266725,1550,52,0,22,0,34,18,1,0,0.112676056,0,0.533833996,0,0.550113837,0.543968485,0.554816874
0,0,0,0,1,0,2018-05-04,0,3.161065059,0,4.959174944,3.512542284,4.691302429,1766,189,0,29,0,42,147,0,0,0.090909091,0,0.165259434,0,0.176292494,0.159487696,0.180201612
0,0,0,0,0,1,2018-05-04,0,3.161995641,0,4.754359242,3.545212577,4.407349878,1694,135,0,27,0,40,95,1,0,0.068965517,0,0.484617755,0,0.468802367,0.513352085,0.435335828
1,0,0,0,0,0,2018-05-04,0,3.065092017,0,4.012303938,3.28677304,3.378540845,1703,103,0,38,0,52,51,0,0,0.031746032,0,0.41013045,0,0.432366295,0.370737131,0.473937864
0,1,0,0,0,0,2018-05-04,0,0.707262359,0,1.767716804,0.849136941,1.258428815,875,8,0,3,0,4,4,1,0,0.504347826,0,0.210680232,0,0.182249683,0.204441452,0.142127752
0,0,0,0,1,0,2018-05-04,0,3.297576326,0,4.171146544,3.640020396,3.285324082,1739,84,0,35,0,49,35,0,0,0.022222222,0,0.519981686,0,0.516621409,0.495341134,0.544711436
0,0,0,0,1,0,2018-05-04,0,2.318147073,0,2.85692902,2.766393187,1.770449209,1640,36,0,20,0,29,7,0,0,0.1,0,0.421618621,0,0.419141793,0.444649685,0.021518099
0,0,0,0,1,0,2018-05-04,0,3.284241347,0,3.653174166,3.461250923,2.101810396,1685,59,0,35,0,43,16,0,0,0.136363636,0,0.485769691,0,0.49521993,0.507678925,0.265990921
0,0,0,0,1,0,2018-05-04,0,2.067238199,0,2.922115425,2.146032821,2.690135306,1649,64,0,19,0,26,38,0,0,0.076271186,0,0.154629294,0,0.096454243,0.138764361,0.036997452
0,0,0,0,1,0,2018-05-04,0,1.710813315,0,4.585093644,2.613277747,4.43616464,1631,137,0,11,0,22,115,0,0,0.134328358,0,0.392140947,0,0.264117599,0.310239981,0.254266889
0,0,0,0,1,0,2018-05-04,0,1.991627781,0,2.472622853,2.119553767,1.264298952,1253,14,0,9,0,10,4,0,0,0.456790123,0,0.573761809,0,0.520623144,0.547370031,0.445325305
0,0,0,0,1,0,2018-05-04,0,2.234536143,0,2.858948328,2.575542518,1.609183761,1073,20,0,10,0,15,5,0,0,0.3,0,0.377414237,0,0.566301242,0.442456078,0.042284636
0,0,0,0,1,0,2018-05-04,0,3.300278523,0,4.259891829,3.560066858,3.638652465,1775,107,0,46,0,60,47,0,0,0.015625,0,0.453869668,0,0.61555507,0.499607778,0.588638189
0,1,0,0,0,0,2018-05-04,0,1.024630968,0,3.976255742,1.376735752,3.90025165,1712,72,0,5,0,7,65,1,0,0.060606061,0,0.355831492,0,0.350593853,0.41901488,0.341984524
0,1,0,0,0,0,2018-05-04,0,1.877260724,0,3.178191567,2.097161871,2.763920262,1721,35,0,8,0,12,23,1,0,0.033898305,0,0.329910933,0,0.375153955,0.352000025,0.386678981
0,0,0,0,1,0,2018-05-04,0,1.945324465,0,2.752087536,2.194362476,1.969036796,848,20,0,10,0,12,8,1,0,0.327683616,0,0.470370154,0,0.35749673,0.431310336,0.163847032
0,0,0,0,1,0,2018-05-04,0,1.940502802,0,3.336270514,1.940502802,3.059443136,830,30,0,7,0,7,23,1,0,0.682352941,0,0.152521529,0,0.387863522,0.152521529,0.391128194
0,0,0,0,1,0,2018-05-04,0,2.666718044,0,3.14493795,2.935004901,1.482766347,1622,38,0,23,0,32,6,0,0,0.092783505,0,0.297837247,0,0.366207427,0.376874976,0.29878663
1,0,0,0,0,0,2018-05-04,0,2.124928871,0,2.554286303,2.347042107,1.204044599,1613,19,0,11,0,15,4,0,0,0.092783505,0,0.329476008,0,0.398103649,0.423151597,0.124357579
0,0,0,0,1,0,2018-05-04,0,1.431857772,0,2.235643112,1.952540869,0.971724371,1361,11,0,5,0,8,3,0,0,0.344827586,0,0.492115066,0,0.490393582,0.487507138,0.256480816
0,0,0,1,0,0,2018-05-04,0,2.528553577,0,3.570650899,2.579023645,3.109899751,1676,49,0,18,0,20,29,1,0,0.136363636,0,0.561446636,0,0.557142047,0.626893118,0.503148518
0,1,0,0,0,0,2018-05-04,0,1.37829688,0,2.469625423,1.590401611,1.933750299,893,12,0,4,0,5,7,1,0,0.513274336,0,0.121219584,0,0.146524419,0.170371847,0.124855257
0,0,0,1,0,0,2018-05-04,0,3.123280765,0,4.028821674,3.400159389,3.267377029,1658,62,0,26,0,35,27,1,0,0.09375,0,0.434893182,0,0.347295485,0.425478465,0.199887029
0,0,0,0,1,0,2018-05-04,0,1.242153955,0,1.76214452,1.76214452,0,987,9,0,5,0,9,0,0,0,0.315217391,0,0.280465231,0,0.525497933,0.525497933,0
0,0,0,0,1,0,2018-05-04,0,0.325082973,0,1.137103391,0.868306794,0,947,5,0,3,0,4,1,0,0,0.682352941,0,0.08055364,0,0.116294137,0.075811081,0
0,0,0,0,1,0,2018-05-04,0,2.156320215,0,2.69856288,2.49930097,1.002911411,974,16,0,9,0,13,3,0,0,0.327683616,0,0.380543226,0,0.486027949,0.472729714,0.468852026
0,0,0,1,0,0,2018-05-04,0,1.079744073,0,3.522725384,1.597521214,3.365240013,1334,34,0,3,0,5,29,0,0,0.344827586,0,0.330430036,0,0.15382268,0.265781787,0.118162861
1,0,0,0,0,0,2018-05-04,0,2.151785763,0,2.164615436,2.152414704,0.041017774,1262,14,0,9,0,10,4,1,0,0.339449541,0,0.325243458,0,0.61974058,0.469128152,0.011431535
0,0,0,0,1,0,2018-05-04,0,1.068756532,0,2.38237948,1.441899948,1.990627921,1586,30,0,5,0,7,23,0,0,0.888888889,0,0.027631402,0,0.046532898,0.024304363,0.051374427
0,1,0,0,0,0,2018-05-04,0,2.892171812,0,3.454513372,3.139342145,2.146480733,1433,38,0,21,0,28,10,1,0,0.2875,0,0.484615225,0,0.490555317,0.495990437,0.474633234
1,0,0,0,0,0,2018-05-04,0,1.665250732,0,2.851854724,1.928148006,2.352781926,1424,28,0,12,0,17,11,1,0,0.211009174,0,0.481014017,0,0.503137592,0.477772563,0.273373173
0,0,0,0,1,0,2018-05-04,0,2.049841899,0,2.899663414,2.591896479,1.583068072,1011,22,0,11,0,17,5,0,0,0.315217391,0,0.67614703,0,0.585008061,0.607661525,0.308463661
0,0,0,1,0,0,2018-05-04,0,2.47556416,0,2.903811027,2.712300094,1.786842278,1496,30,0,15,0,20,10,0,0,0.154362416,0,0.489147691,0,0.519562585,0.511637193,0.120532055
0,0,0,0,1,0,2018-05-04,0,2.766373048,0,3.096549059,2.941352862,1.177734559,1487,38,0,26,0,31,7,0,0,0.154362416,0,0.619314799,0,0.640931999,0.625016367,0.706309901
